"genesysId","instCode","name","aliasType","lang","version"
"2509296","","176","OTHERNUMB","","0"
"2509296","","Concha Morada","ACCENAME","","0"
"2509296","","176","COLLNUMB","","0"
"2509297","","175","OTHERNUMB","","0"
"2509297","","175","COLLNUMB","","0"
"2509298","","173","OTHERNUMB","","0"
"2509298","","173","COLLNUMB","","0"
"2509299","","174","OTHERNUMB","","0"
"2509299","","174","COLLNUMB","","0"
"2509300","","UCV 2193","OTHERNUMB","","0"
"2509300","","017","COLLNUMB","","0"
"2509301","","170","OTHERNUMB","","0"
"2509301","","170","COLLNUMB","","0"
"2509302","","171","OTHERNUMB","","0"
"2509302","","171","COLLNUMB","","0"
"2509303","","172","OTHERNUMB","","0"
"2509303","","172","COLLNUMB","","0"
"2509304","","168","OTHERNUMB","","0"
"2509304","","168","COLLNUMB","","0"
"2509305","","169","OTHERNUMB","","0"
"2509305","","169","COLLNUMB","","0"
"2509306","","164","OTHERNUMB","","0"
"2509306","","164","COLLNUMB","","0"
"2509307","","166","OTHERNUMB","","0"
"2509307","","Blanca","ACCENAME","","0"
"2509307","","166","COLLNUMB","","0"
"2509308","","167","OTHERNUMB","","0"
"2509308","","Cadena","ACCENAME","","0"
"2509308","","167","COLLNUMB","","0"
"2509309","","161","OTHERNUMB","","0"
"2509309","","161","COLLNUMB","","0"
"2509310","","163","OTHERNUMB","","0"
"2509310","","Inviernera","ACCENAME","","0"
"2509310","","163","COLLNUMB","","0"
"2509311","","152","OTHERNUMB","","0"
"2509311","","Lengua De Venao Ii","ACCENAME","","0"
"2509311","","152","COLLNUMB","","0"
"2509312","","153","OTHERNUMB","","0"
"2509312","","153","COLLNUMB","","0"
"2509313","","155","OTHERNUMB","","0"
"2509313","","Llanerita","ACCENAME","","0"
"2509313","","155","COLLNUMB","","0"
"2509314","","156","OTHERNUMB","","0"
"2509314","","Llaneron","ACCENAME","","0"
"2509314","","156","COLLNUMB","","0"
"2509315","","157","OTHERNUMB","","0"
"2509315","","157","COLLNUMB","","0"
"2509316","","UCV 2182","OTHERNUMB","","0"
"2509316","","016","COLLNUMB","","0"
"2509317","","160","OTHERNUMB","","0"
"2509317","","160","COLLNUMB","","0"
"2509318","","150","OTHERNUMB","","0"
"2509318","","Lengua Venao Morad","ACCENAME","","0"
"2509318","","150","COLLNUMB","","0"
"2509319","","151","OTHERNUMB","","0"
"2509319","","Llanera Ii","ACCENAME","","0"
"2509319","","151","COLLNUMB","","0"
"2509320","","UCV 2192","OTHERNUMB","","0"
"2509320","","015","COLLNUMB","","0"
"2509321","","014","OTHERNUMB","","0"
"2509321","","Amarilla","ACCENAME","","0"
"2509321","","014","COLLNUMB","","0"
"2509322","","149","OTHERNUMB","","0"
"2509322","","Llanera","ACCENAME","","0"
"2509322","","149","COLLNUMB","","0"
"2509323","","147","OTHERNUMB","","0"
"2509323","","Negrita","ACCENAME","","0"
"2509323","","147","COLLNUMB","","0"
"2509324","","145","OTHERNUMB","","0"
"2509324","","Pata De Zamuro","ACCENAME","","0"
"2509324","","145","COLLNUMB","","0"
"2509325","","146","OTHERNUMB","","0"
"2509325","","Lengua De Venao","ACCENAME","","0"
"2509325","","146","COLLNUMB","","0"
"2509326","","143","OTHERNUMB","","0"
"2509326","","Lagrimas","ACCENAME","","0"
